rep_n,agent_type,phase,lever_rate
0,MF,pre,0.9
0,MF,post,0.96
0,MB,pre,0.84
0,MB,post,0.43
1,MF,pre,0.9
1,MF,post,0.94
1,MB,pre,0.94
1,MB,post,0.45
2,MF,pre,0.92
2,MF,post,0.93
2,MB,pre,0.97
2,MB,post,0.47
3,MF,pre,0.94
3,MF,post,0.94
3,MB,pre,0.87
3,MB,post,0.55
4,MF,pre,0.93
4,MF,post,0.97
4,MB,pre,0.97
4,MB,post,0.47
5,MF,pre,0.93
5,MF,post,0.95
5,MB,pre,0.87
5,MB,post,0.55
6,MF,pre,0.94
6,MF,post,0.93
6,MB,pre,0.9
6,MB,post,0.55
7,MF,pre,0.94
7,MF,post,0.88
7,MB,pre,0.89
7,MB,post,0.5
8,MF,pre,0.92
8,MF,post,0.92
8,MB,pre,0.85
8,MB,post,0.52
9,MF,pre,0.92
9,MF,post,0.93
9,MB,pre,0.87
9,MB,post,0.58
10,MF,pre,0.94
10,MF,post,0.9
10,MB,pre,0.85
10,MB,post,0.4
11,MF,pre,0.95
11,MF,post,0.96
11,MB,pre,0.89
11,MB,post,0.43
12,MF,pre,0.93
12,MF,post,0.94
12,MB,pre,0.95
12,MB,post,0.51
13,MF,pre,0.96
13,MF,post,0.89
13,MB,pre,0.91
13,MB,post,0.54
14,MF,pre,0.91
14,MF,post,0.95
14,MB,pre,0.83
14,MB,post,0.46
15,MF,pre,0.93
15,MF,post,0.92
15,MB,pre,0.85
15,MB,post,0.53
16,MF,pre,0.91
16,MF,post,0.93
16,MB,pre,0.87
16,MB,post,0.49
17,MF,pre,0.91
17,MF,post,0.91
17,MB,pre,0.92
17,MB,post,0.53
18,MF,pre,0.88
18,MF,post,0.93
18,MB,pre,0.92
18,MB,post,0.46
19,MF,pre,0.92
19,MF,post,0.89
19,MB,pre,0.89
19,MB,post,0.54
20,MF,pre,0.94
20,MF,post,0.93
20,MB,pre,0.89
20,MB,post,0.5
21,MF,pre,0.91
21,MF,post,0.9
21,MB,pre,0.95
21,MB,post,0.49
22,MF,pre,0.89
22,MF,post,0.91
22,MB,pre,0.9
22,MB,post,0.47
23,MF,pre,0.93
23,MF,post,0.94
23,MB,pre,0.88
23,MB,post,0.53
24,MF,pre,0.91
24,MF,post,0.92
24,MB,pre,0.88
24,MB,post,0.51
25,MF,pre,0.89
25,MF,post,0.95
25,MB,pre,0.9
25,MB,post,0.5
26,MF,pre,0.94
26,MF,post,0.94
26,MB,pre,0.94
26,MB,post,0.54
27,MF,pre,0.9
27,MF,post,0.93
27,MB,pre,0.89
27,MB,post,0.53
28,MF,pre,0.96
28,MF,post,0.9
28,MB,pre,0.89
28,MB,post,0.53
29,MF,pre,0.92
29,MF,post,0.93
29,MB,pre,0.91
29,MB,post,0.52
30,MF,pre,0.91
30,MF,post,0.89
30,MB,pre,0.95
30,MB,post,0.5
31,MF,pre,0.86
31,MF,post,0.94
31,MB,pre,0.91
31,MB,post,0.45
32,MF,pre,0.96
32,MF,post,0.97
32,MB,pre,0.92
32,MB,post,0.47
33,MF,pre,0.92
33,MF,post,0.91
33,MB,pre,0.84
33,MB,post,0.48
34,MF,pre,0.94
34,MF,post,0.9
34,MB,pre,0.91
34,MB,post,0.47
35,MF,pre,0.86
35,MF,post,0.95
35,MB,pre,0.9
35,MB,post,0.43
36,MF,pre,0.91
36,MF,post,0.89
36,MB,pre,0.89
36,MB,post,0.61
37,MF,pre,0.93
37,MF,post,0.89
37,MB,pre,0.93
37,MB,post,0.51
38,MF,pre,0.96
38,MF,post,0.94
38,MB,pre,0.84
38,MB,post,0.46
39,MF,pre,0.95
39,MF,post,0.89
39,MB,pre,0.9
39,MB,post,0.49
40,MF,pre,0.96
40,MF,post,0.94
40,MB,pre,0.88
40,MB,post,0.5
41,MF,pre,0.96
