agent_type,rep_n,train_n,uncertainty
MF,0,0,1.1
MF,0,1,1.1
MF,0,2,0.6
MF,0,3,0.6
MF,0,4,0.2820789755988283
MF,0,5,0.22928132414553062
MF,0,6,0.21377845060930134
MF,0,7,0.2085884239773701
MF,0,8,0.20679421214103433
MF,0,9,0.20617210273396547
MF,0,10,0.2059574498568225
MF,0,11,0.2058838264308369
MF,0,12,0.20585870366107123
MF,0,13,0.20585016494305414
MF,0,14,0.2058472713825556
MF,0,15,0.20584629295031376
MF,0,16,0.205845962624113
MF,0,17,0.20584585123147137
MF,0,18,0.20584581369899146
MF,0,19,0.20584580106053385
MF,0,20,0.20584579680662
MF,0,21,0.20584579537652364
MF,0,22,0.20584579489450353
MF,0,23,0.20584579473215056
MF,0,24,0.2058457946774951
MF,0,25,0.20584579465910235
MF,0,26,0.20584579465291453
MF,0,27,0.20584579465083314
MF,0,28,0.20584579465013314
MF,0,29,0.20584579464989772
MF,0,30,0.2058457946498186
MF,0,31,0.20584579464979197
MF,0,32,0.205845794649783
MF,0,33,0.20584579464978
MF,0,34,0.205845794649779
MF,0,35,0.20584579464977867
MF,0,36,0.20584579464977854
MF,0,37,0.20584579464977848
MF,0,38,0.2058457946497785
MF,0,39,0.2058457946497785
MF,0,40,0.2058457946497785
MF,0,41,0.2058457946497785
MF,0,42,0.2058457946497785
MF,0,43,0.2058457946497785
MF,0,44,0.2058457946497785
MF,0,45,0.2058457946497785
MF,0,46,0.2058457946497785
MF,0,47,0.2058457946497785
MF,0,48,0.2058457946497785
MF,0,49,0.2058457946497785
MF,0,50,0.2058457946497785
MF,0,51,0.2058457946497785
MF,0,52,0.2058457946497785
MF,0,53,0.2058457946497785
MF,0,54,0.2058457946497785
MF,0,55,0.2058457946497785
MF,0,56,0.2058457946497785
MF,0,57,0.2058457946497785
MF,0,58,0.2058457946497785
MF,0,59,0.2058457946497785
MF,0,60,0.2058457946497785
MF,0,61,0.2058457946497785
MF,0,62,0.2058457946497785
MF,0,63,0.2058457946497785
MF,0,64,0.2058457946497785
MF,0,65,0.2058457946497785
MF,0,66,0.2058457946497785
MF,0,67,0.2058457946497785
MF,0,68,0.2058457946497785
MF,0,69,0.2058457946497785
MF,0,70,0.2058457946497785
MF,0,71,0.2058457946497785
MF,0,72,0.2058457946497785
MF,0,73,0.2058457946497785
MF,0,74,0.2058457946497785
MF,0,75,0.2058457946497785
MF,0,76,0.2058457946497785
MF,0,77,0.2058457946497785
MF,0,78,0.2058457946497785
MF,0,79,0.2058457946497785
MF,0,80,0.2058457946497785
MF,0,81,0.2058457946497785
MF,0,82,0.2058457946497785
MF,0,83,0.2058457946497785
MF,0,84,0.2058457946497785
MF,0,85,0.2058457946497785
MF,0,86,0.2058457946497785
MF,0,87,0.2058457946497785
MF,0,88,0.2058457946497785
MF,0,89,0.2058457946497785
MF,0,90,0.2058457946497785
MF,0,91,0.2058457946497785
MF,0,92,0.2058457946497785
MF,0,93,0.2058457946497785
MF,0,94,0.2058457946497785
MF,0,95,0.2058457946497785
MF,0,96,0.2058457946497785
MF,0,97,0.2058457946497785
MF,0,98,0.2058457946497785
MF,0,99,0.2058457946497785
MF,0,100,0.2058457946497785
MF,0,101,0.2058457946497785
MF,0,102,0.2058457946497785
MF,0,103,0.2058457946497785
MF,0,104,0.2058457946497785
MF,0,105,0.2058457946497785
MF,0,106,0.2058457946497785
MF,0,107,0.2058457946497785
MF,0,108,0.2058457946497785
MF,0,109,0.2058457946497785
MF,0,110,0.2058457946497785
MF,0,111,0.2058457946497785
MF,0,112,0.2058457946497785
MF,0,113,0.2058457946497785
MF,0,114,0.2058457946497785
MF,0,115,0.2058457946497785
MF,0,116,0.2058457946497785
MF,0,117,0.2058457946497785
MF,0,118,0.2058457946497785
MF,0,119,0.2058457946497785
MF,0,120,0.2058457946497785
MF,0,121,0.2058457946497785
MF,0,122,0.2058457946497785
MF,0,123,0.2058457946497785
MF,0,124,0.2058457946497785
MF,0,125,0.2058457946497785
MF,0,126,0.2058457946497785
MF,0,127,0.2058457946497785
MF,0,128,0.2058457946497785
MF,0,129,0.2058457946497785
MF,0,130,0.2058457946497785
MF,0,131,0.2058457946497785
MF,0,132,0.2058457946497785
MF,0,133,0.2058457946497785
MF,0,134,0.2058457946497785
MF,0,135,0.2058457946497785
MF,0,136,0.2058457946497785
MF,0,137,0.2058457946497785
MF,0,138,0.2058457946497785
MF,0,139,0.2058457946497785
MF,0,140,0.2058457946497785
MF,0,141,0.2058457946497785
MF,0,142,0.2058457946497785
MF,0,143,0.2058457946497785
MF,0,144,0.2058457946497785
MF,0,145,0.2058457946497785
MF,0,146,0.2058457946497785
MF,0,147,0.2058457946497785
MF,0,148,0.2058457946497785
MF,0,149,0.2058457946497785
MF,0,150,0.2058457946497785
MF,0,151,0.2058457946497785
MF,0,152,0.2058457946497785
MF,0,153,0.2058457946497785
MF,0,154,0.2058457946497785
MF,0,155,0.2058457946497785
MF,0,156,0.2058457946497785
MF,0,157,0.2058457946497785
MF,0,158,0.2058457946497785
MF,0,159,0.2058457946497785
MF,0,160,0.2058457946497785
MF,0,161,0.2058457946497785
MF,0,162,0.2058457946497785
MF,0,163,0.2058457946497785
MF,0,164,0.2058457946497785
MF,0,165,0.2058457946497785
MF,0,166,0.2058457946497785
MF,0,167,0.2058457946497785
MF,0,168,0.2058457946497785
MF,0,169,0.2058457946497785
MF,0,170,0.2058457946497785
MF,0,171,0.2058457946497785
MF,0,172,0.2058457946497785
MF,0,173,0.2058457946497785
MF,0,174,0.2058457946497785
MF,0,175,0.2058457946497785
MF,0,176,0.2058457946497785
MF,0,177,0.2058457946497785
MF,0,178,0.2058457946497785
MF,0,179,0.2058457946497785
MF,0,180,0.2058457946497785
MF,0,181,0.2058457946497785
MF,0,182,0.2058457946497785
MF,0,183,0.2058457946497785
MF,0,184,0.2058457946497785
MF,0,185,0.2058457946497785
MF,0,186,0.2058457946497785
MF,0,187,0.2058457946497785
MF,0,188,0.2058457946497785
MF,0,189,0.2058457946497785
MF,0,190,0.2058457946497785
MF,0,191,0.2058457946497785
MF,0,192,0.2058457946497785
MF,0,193,0.2058457946497785
MF,0,194,0.2058457946497785
MF,0,195,0.2058457946497785
MF,0,196,0.2058457946497785
MF,0,197,0.2058457946497785
MF,0,198,0.2058457946497785
MF,0,199,0.2058457946497785
MB,0,0,1.09971659728908
MB,0,1,0.7827800948772675
MB,0,2,0.39330044131657516
MB,0,3,0.3774976411224338
MB,0,4,0.3598868268363081
MB,0,5,0.34427222643761163
MB,0,6,0.3308467922087358
MB,0,7,0.31919770652133406
MB,0,8,0.3141745158992706
MB,0,9,0.30458389496241056
MB,0,10,0.2963441851578936
MB,0,11,0.29363772432122925
MB,0,12,0.2867533942297221
MB,0,13,0.28076941995442706
MB,0,14,0.2756333524990311
MB,0,15,0.2710019846403048
MB,0,16,0.26951323922043446
MB,0,17,0.2655380751216806
MB,0,18,0.2655243731060285
MB,0,19,0.2619845228581591
MB,0,20,0.2588158780893042
MB,0,21,0.25596659494440477
MB,0,22,0.255963561423609
MB,0,23,0.2533910216373171
MB,0,24,0.25105964630891875
MB,0,25,0.2502897584976502
MB,0,26,0.2502895870520925
MB,0,27,0.24958530511862276
MB,0,28,0.24757613842265846
MB,0,29,0.24574328646197297
MB,0,30,0.24406649482872855
MB,0,31,0.24252848211939604
MB,0,32,0.2411144092404357
