n_wait,rep_n,agent_type,p_delayed
0,0,MB,0.930022145053014
0,0,MF,0.995686628895103
0,1,MB,0.9330133656899947
0,1,MF,0.9957054574076051
0,2,MB,0.935630063728076
0,2,MF,0.9997168250919126
0,3,MB,0.9330133656899947
0,3,MF,0.9997168250919126
0,4,MB,0.930022145053014
0,4,MF,0.9957054657644269
0,5,MB,0.9265796032888587
0,5,MF,0.9956338350132201
0,6,MB,0.935630063728076
0,6,MF,0.9957054657652767
0,7,MB,0.9265796032888587
0,7,MF,0.9997168250919126
0,8,MB,0.930022145053014
0,8,MF,0.9957054657625728
0,9,MB,0.9399710643010599
0,9,MF,0.9997168250919126
0,10,MB,0.935630063728076
0,10,MF,0.9956964982222912
0,11,MB,0.930022145053014
0,11,MF,0.9955963617337279
0,12,MB,0.9330133656899947
0,12,MF,0.9997168250919126
0,13,MB,0.9417834456419278
0,13,MF,0.9957054657656662
0,14,MB,0.9330133656899947
0,14,MF,0.9997168250919126
0,15,MB,0.9265796032888587
0,15,MF,0.9957054657659814
0,16,MB,0.9265796032888587
0,16,MF,0.995705465765996
0,17,MB,0.9330133656899947
0,17,MF,0.9997168250919126
0,18,MB,0.944854222516604
0,18,MF,0.9997168250919126
0,19,MB,0.930022145053014
0,19,MF,0.9997168250919126
0,20,MB,0.9379330638152586
0,20,MF,0.9997168250919126
0,21,MB,0.935630063728076
0,21,MF,0.9957054657659892
0,22,MB,0.9330133656899947
0,22,MF,0.9997168250919126
0,23,MB,0.935630063728076
0,23,MF,0.9997168250919126
0,24,MB,0.922587622890314
0,24,MF,0.995705465765996
0,25,MB,0.930022145053014
0,25,MF,0.9997168250919126
0,26,MB,0.9265796032888587
0,26,MF,0.9957054657659814
0,27,MB,0.9124078379309577
0,27,MF,0.9997168250919126
0,28,MB,0.9265796032888587
0,28,MF,0.9997168250919126
0,29,MB,0.922587622890314
0,29,MF,0.9956338350132201
0,30,MB,0.9330133656899947
0,30,MF,0.995705465765993
0,31,MB,0.9124078379309577
0,31,MF,0.9997168250919126
0,32,MB,0.9265796032888587
0,32,MF,0.9997168250919126
0,33,MB,0.9379330638152586
0,33,MF,0.9997168250919126
0,34,MB,0.9417834456419278
0,34,MF,0.9997168250919126
0,35,MB,0.9265796032888587
0,35,MF,0.9957054657659814
0,36,MB,0.935630063728076
0,36,MF,0.9956964982222912
0,37,MB,0.9265796032888587
0,37,MF,0.9957054657497038
0,38,MB,0.9265796032888587
0,38,MF,0.9956338350132201
0,39,MB,0.917919233345425
0,39,MF,0.9997168250919126
0,40,MB,0.9417834456419278
0,40,MF,0.9957054574076051
0,41,MB,0.9265796032888587
0,41,MF,0.9997168250919126
0,42,MB,0.935630063728076
0,42,MF,0.9997168250919126
0,43,MB,0.935630063728076
0,43,MF,0.9997168250919126
0,44,MB,0.9417834456419278
0,44,MF,0.9997168250919126
0,45,MB,0.922587622890314
0,45,MF,0.9997168250919126
0,46,MB,0.9330133656899947
0,46,MF,0.9997168250919126
0,47,MB,0.9399710643010599
0,47,MF,0.9957053790531846
0,48,MB,0.9399710643010599
0,48,MF,0.9957054655968332
0,49,MB,0.930022145053014
0,49,MF,0.9997168250919126
0,50,MB,0.930022145053014
0,50,MF,0.9997168250919126
0,51,MB,0.935630063728076
0,51,MF,0.9957050540891161
0,52,MB,0.9399710643010599
0,52,MF,0.9997168250919126
0,53,MB,0.930022145053014
0,53,MF,0.9957054657652767
0,54,MB,0.9124078379309577
0,54,MF,0.9997168250919126
0,55,MB,0.9330133656899947
0,55,MF,0.9957054657497038
0,56,MB,0.930022145053014
0,56,MF,0.9957054656884552
0,57,MB,0.9265796032888587
0,57,MF,0.9997168250919126
0,58,MB,0.917919233345425
0,58,MF,0.9956964982222912
0,59,MB,0.922587622890314
0,59,MF,0.9997168250919126
0,60,MB,0.9417834456419278
0,60,MF,0.9957053790531846
0,61,MB,0.9265796032888587
0,61,MF,0.9997168250919126
0,62,MB,0.935630063728076
0,62,MF,0.9997168250919126
0,63,MB,0.944854222516604
0,63,MF,0.9997168250919126
0,64,MB,0.917919233345425
0,64,MF,0.9957045703565074
0,65,MB,0.9379330638152586
0,65,MF,0.9957054657659956
0,66,MB,0.9265796032888587
0,66,MF,0.9957054655968332
0,67,MB,0.930022145053014
0,67,MF,0.9957054657304529
0,68,MB,0.9399710643010599
0,68,MF,0.9997168250919126
0,69,MB,0.935630063728076
0,69,MF,0.9956672886081971
0,70,MB,0.9124078379309577
0,70,MF,0.9957054649608952
0,71,MB,0.935630063728076
0,71,MF,0.995703523321651
0,72,MB,0.930022145053014
0,72,MF,0.9955963617337279
0,73,MB,0.935630063728076
0,73,MF,0.9997168250919126
0,74,MB,0.9265796032888587
0,74,MF,0.9997168250919126
0,75,MB,0.935630063728076
0,75,MF,0.9997168250919126
0,76,MB,0.930022145053014
0,76,MF,0.9997168250919126
0,77,MB,0.930022145053014
0,77,MF,0.995705465765996
0,78,MB,0.9330133656899947
0,78,MF,0.9956873891652256
0,79,MB,0.922587622890314
0,79,MF,0.9997168250919126
0,80,MB,0.9399710643010599
0,80,MF,0.995686628895103
0,81,MB,0.9330133656899947
0,81,MF,0.9997168250919126
0,82,MB,0.917919233345425
0,82,MF,0.9957054619344201
0,83,MB,0.9265796032888587
0,83,MF,0.9957054657659958
0,84,MB,0.922587622890314
0,84,MF,0.9957054657658447
0,85,MB,0.922587622890314
0,85,MF,0.9957012726507907
0,86,MB,0.922587622890314
0,86,MF,0.9997168250919126
0,87,MB,0.922587622890314
0,87,MF,0.9957012726507907
0,88,MB,0.9265796032888587
0,88,MF,0.9997168250919126
0,89,MB,0.922587622890314
0,89,MF,0.9997168250919126
0,90,MB,0.9265796032888587
0,90,MF,0.9997168250919126
0,91,MB,0.9399710643010599
0,91,MF,0.995705465765996
0,92,MB,0.930022145053014
0,92,MF,0.9957045703565074
0,93,MB,0.9058316215545171
0,93,MF,0.9997168250919126
0,94,MB,0.9265796032888587
0,94,MF,0.9956338350132201
0,95,MB,0.9265796032888587
0,95,MF,0.9997168250919126
0,96,MB,0.922587622890314
0,96,MF,0.9957054657625728
0,97,MB,0.9265796032888587
0,97,MF,0.9957054656884552
0,98,MB,0.935630063728076
0,98,MF,0.9955963617337279
0,99,MB,0.9265796032888587
0,99,MF,0.9997168250919126
1,0,MB,0.7177614616030894
1,0,MF,0.9986497013168479
1,1,MB,0.7056026238100873
1,1,MF,0.9883498240810558
1,2,MB,0.7018800520111819
1,2,MF,0.9992284601978657
1,3,MB,0.723586669165736
1,3,MF,0.979833220729366
1,4,MB,0.7158787108175229
1,4,MF,0.992331957641882
1,5,MB,0.6998642445300345
1,5,MF,0.9923293983482022
1,6,MB,0.7173789172248587
1,6,MF,0.9952148711636547
1,7,MB,0.6966836550957956
1,7,MF,0.9992281169393318
