n_wait,rep_n,agent_type,p_delayed
0,0,MB,0.9777616159474375
0,0,MF,0.9997168250919126
0,1,MB,0.9813392700519122
0,1,MF,0.9997168250919126
0,2,MB,0.9837036320740563
0,2,MF,0.9957054657659892
0,3,MB,0.9777616159474375
0,3,MF,0.9997168250919126
0,4,MB,0.9837036320740563
0,4,MF,0.9955963617337279
0,5,MB,0.9813392700519122
0,5,MF,0.9957054619344201
0,6,MB,0.9777616159474375
0,6,MF,0.9957050540891161
0,7,MB,0.9813392700519122
0,7,MF,0.9997168250919126
0,8,MB,0.9865869176567229
0,8,MF,0.9997168250919126
0,9,MB,0.9813392700519122
0,9,MF,0.9997168250919126
0,10,MB,0.9777616159474375
0,10,MF,0.9957054619344201
0,11,MB,0.9813392700519122
0,11,MF,0.995686628895103
0,12,MB,0.9853646114503288
0,12,MF,0.9997168250919126
0,13,MB,0.9718836963278038
0,13,MF,0.9997168250919126
0,14,MB,0.9837036320740563
0,14,MF,0.9957054475337166
0,15,MB,0.9813392700519122
0,15,MF,0.9955963617337279
0,16,MB,0.9813392700519122
0,16,MF,0.9956964982222912
0,17,MB,0.9718836963278038
0,17,MF,0.9997168250919126
0,18,MB,0.9853646114503288
0,18,MF,0.9997168250919126
0,19,MB,0.9718836963278038
0,19,MF,0.9957054657659814
0,20,MB,0.9875194608030116
0,20,MF,0.9997168250919126
0,21,MB,0.9837036320740563
0,21,MF,0.9957054657644269
0,22,MB,0.9837036320740563
0,22,MF,0.9997168250919126
0,23,MB,0.9813392700519122
0,23,MF,0.995705465765996
0,24,MB,0.9813392700519122
0,24,MF,0.9957054657304529
0,25,MB,0.9718836963278038
0,25,MF,0.9997168250919126
0,26,MB,0.9813392700519122
0,26,MF,0.9957012726507907
0,27,MB,0.9777616159474375
0,27,MF,0.9997168250919126
0,28,MB,0.9837036320740563
0,28,MF,0.9956338350132201
0,29,MB,0.9777616159474375
0,29,MF,0.9997168250919126
0,30,MB,0.9718836963278038
0,30,MF,0.9957054619344201
0,31,MB,0.9837036320740563
0,31,MF,0.9997168250919126
0,32,MB,0.9837036320740563
0,32,MF,0.9997168250919126
0,33,MB,0.9875194608030116
0,33,MF,0.9997168250919126
0,34,MB,0.9777616159474375
0,34,MF,0.9997168250919126
0,35,MB,0.9813392700519122
0,35,MF,0.9997168250919126
0,36,MB,0.9718836963278038
0,36,MF,0.9957050540891161
