n_wait,rep_n,agent_type,p_delayed
0,0,MB,0.9962533861627613
0,0,MF,0.9997168250919126
0,1,MB,0.9986956971622847
0,1,MF,0.9997168250919126
0,2,MB,0.9935380756327926
0,2,MF,0.9957054657658447
0,3,MB,0.9974446928989678
0,3,MF,0.9997168250919126
0,4,MB,0.9974446928989678
0,4,MF,0.995705465758528
0,5,MB,0.9980744842093099
0,5,MF,0.9957054657656662
0,6,MB,0.9984507819967867
0,6,MF,0.9957012726507907
0,7,MB,0.9974446928989678
0,7,MF,0.9956672886081971
0,8,MB,0.9974446928989678
0,8,MF,0.9957054657656662
0,9,MB,0.9974446928989678
0,9,MF,0.9997168250919126
0,10,MB,0.9980744842093099
0,10,MF,0.9955963617337279
0,11,MB,0.9962533861627613
0,11,MF,0.995703523321651
0,12,MB,0.9986956971622847
0,12,MF,0.9997168250919126
0,13,MB,0.9980744842093099
0,13,MF,0.9997168250919126
0,14,MB,0.9984507819967867
0,14,MF,0.9956338350132201
0,15,MB,0.998865400992014
0,15,MF,0.995686628895103
0,16,MB,0.9962533861627613
0,16,MF,0.9997168250919126
0,17,MB,0.9974446928989678
0,17,MF,0.9997168250919126
0,18,MB,0.9984507819967867
0,18,MF,0.9997168250919126
0,19,MB,0.9935380756327926
0,19,MF,0.9956672886081971
0,20,MB,0.9984507819967867
0,20,MF,0.9997168250919126
0,21,MB,0.9980744842093099
0,21,MF,0.9997168250919126
0,22,MB,0.9980744842093099
0,22,MF,0.9957054657659957
0,23,MB,0.9986956971622847
0,23,MF,0.9997168250919126
0,24,MB,0.9962533861627613
0,24,MF,0.995705276756849
0,25,MB,0.9974446928989678
0,25,MF,0.9997168250919126
0,26,MB,0.9974446928989678
0,26,MF,0.9957054260002642
0,27,MB,0.9980744842093099
0,27,MF,0.9997168250919126
0,28,MB,0.9935380756327926
0,28,MF,0.995703523321651
0,29,MB,0.9974446928989678
0,29,MF,0.995686628895103
0,30,MB,0.9974446928989678
0,30,MF,0.9997168250919126
0,31,MB,0.9980744842093099
0,31,MF,0.995686628895103
0,32,MB,0.9974446928989678
0,32,MF,0.995703523321651
0,33,MB,0.9984507819967867
0,33,MF,0.9997168250919126
0,34,MB,0.9984507819967867
0,34,MF,0.9957054657659968
0,35,MB,0.9974446928989678
0,35,MF,0.9957050540891161
0,36,MB,0.9980744842093099
0,36,MF,0.9955963617337279
0,37,MB,0.9962533861627613
0,37,MF,0.9955963617337279
0,38,MB,0.9974446928989678
0,38,MF,0.9997168250919126
0,39,MB,0.998865400992014
0,39,MF,0.995705464009619
0,40,MB,0.9974446928989678
0,40,MF,0.9997168250919126
0,41,MB,0.9974446928989678
0,41,MF,0.9997168250919126
0,42,MB,0.9974446928989678
0,42,MF,0.9956672886081971
0,43,MB,0.9986956971622847
0,43,MF,0.9997168250919126
0,44,MB,0.9986956971622847
0,44,MF,0.9997168250919126
0,45,MB,0.9980744842093099
0,45,MF,0.9957053790531846
0,46,MB,0.9974446928989678
0,46,MF,0.9956964982222912
0,47,MB,0.9980744842093099
0,47,MF,0.9997168250919126
0,48,MB,0.9984507819967867
0,48,MF,0.9957054657659962
0,49,MB,0.9974446928989678
0,49,MF,0.9957054655968332
0,50,MB,0.9980744842093099
0,50,MF,0.9997168250919126
0,51,MB,0.9974446928989678
0,51,MF,0.9997168250919126
0,52,MB,0.9974446928989678
0,52,MF,0.9956964982222912
0,53,MB,0.9974446928989678
0,53,MF,0.9997168250919126
0,54,MB,0.9980744842093099
0,54,MF,0.9957054653969515
0,55,MB,0.9986956971622847
0,55,MF,0.9997168250919126
0,56,MB,0.9974446928989678
0,56,MF,0.9957054656884552
0,57,MB,0.9980744842093099
0,57,MF,0.9997168250919126
0,58,MB,0.9986956971622847
0,58,MF,0.9956873891652256
0,59,MB,0.9962533861627613
0,59,MF,0.9997168250919126
0,60,MB,0.9974446928989678
0,60,MF,0.9957012726507907
0,61,MB,0.9962533861627613
0,61,MF,0.9956338350132201
0,62,MB,0.9984507819967867
0,62,MF,0.9997168250919126
0,63,MB,0.9974446928989678
0,63,MF,0.9997168250919126
0,64,MB,0.9974446928989678
0,64,MF,0.9957054649608952
0,65,MB,0.9980744842093099
0,65,MF,0.9957054657681537
0,66,MB,0.9962533861627613
0,66,MF,0.9997168250919126
0,67,MB,0.9980744842093099
0,67,MF,0.9997168250919126
0,68,MB,0.9935380756327926
0,68,MF,0.9956873891652256
0,69,MB,0.9935380756327926
0,69,MF,0.9997168250919126
0,70,MB,0.9974446928989678
0,70,MF,0.9997168250919126
0,71,MB,0.9962533861627613
0,71,MF,0.9957045703565074
0,72,MB,0.9986956971622847
0,72,MF,0.9997168250919126
0,73,MB,0.9974446928989678
0,73,MF,0.9957054653969515
0,74,MB,0.9962533861627613
0,74,MF,0.9957054657659642
0,75,MB,0.9980744842093099
0,75,MF,0.9957054653969515
0,76,MB,0.9962533861627613
0,76,MF,0.9997168250919126
0,77,MB,0.9986956971622847
0,77,MF,0.9997168250919126
0,78,MB,0.9980744842093099
0,78,MF,0.9957054649608952
0,79,MB,0.9984507819967867
0,79,MF,0.9997168250919126
0,80,MB,0.9974446928989678
0,80,MF,0.995705465765996
0,81,MB,0.9984507819967867
0,81,MF,0.9957054649608952
0,82,MB,0.9984507819967867
0,82,MF,0.9957054619344201
0,83,MB,0.9980744842093099
0,83,MF,0.995705465758528
0,84,MB,0.9980744842093099
0,84,MF,0.9957054475337166
0,85,MB,0.9974446928989678
0,85,MF,0.9997168250919126
0,86,MB,0.9986956971622847
0,86,MF,0.9957054656884552
0,87,MB,0.9984507819967867
0,87,MF,0.9997168250919126
0,88,MB,0.998865400992014
0,88,MF,0.9957054475337166
0,89,MB,0.9935380756327926
0,89,MF,0.9997168250919126
0,90,MB,0.9980744842093099
0,90,MF,0.9997168250919126
0,91,MB,0.9962533861627613
0,91,MF,0.9957054657644269
0,92,MB,0.9974446928989678
0,92,MF,0.9997168250919126
0,93,MB,0.9980744842093099
0,93,MF,0.9997168250919126
0,94,MB,0.9984507819967867
0,94,MF,0.9956672886081971
0,95,MB,0.9980744842093099
0,95,MF,0.9997168250919126
0,96,MB,0.9974446928989678
0,96,MF,0.9957012726507907
0,97,MB,0.9980744842093099
0,97,MF,0.9957054475337166
0,98,MB,0.9974446928989678
0,98,MF,0.9957054574076051
0,99,MB,0.9992113737468358
0,99,MF,0.9997168250919126
1,0,MB,0.9890921894381539
1,0,MF,0.9883397378316744
1,1,MB,0.9929812763312035
1,1,MF,0.9922939731671442
1,2,MB,0.9921536033267142
1,2,MF,0.9883397198113938
1,3,MB,0.9950757455660713
1,3,MF,0.99922597040565
1,4,MB,0.9909425900677908
1,4,MF,0.991426131480815
1,5,MB,0.9884735896856501
1,5,MF,0.992294546622084
1,6,MB,0.9909073936240903
1,6,MF,0.9952165798272624
1,7,MB,0.9914164037609098
1,7,MF,0.9882942690457893
1,8,MB,0.9922407371708964
1,8,MF,0.9880973712058382
1,9,MB,0.9913660538817993
1,9,MF,0.9922929222540903
1,10,MB,0.9865611564622442
1,10,MF,0.9950494805121828
1,11,MB,0.9904576490531198
1,11,MF,0.9882958356291212
1,12,MB,0.9875898900395936
1,12,MF,0.9992251030763901
1,13,MB,0.9935013560135302
1,13,MF,0.3368953973271122
1,14,MB,0.9934129755305128
1,14,MF,0.9856442322978527
1,15,MB,0.9835703536106125
1,15,MF,0.9922943884016657
1,16,MB,0.9927935115220221
1,16,MF,0.9883520957708863
1,17,MB,0.9915580871823872
1,17,MF,0.026419617131414743
1,18,MB,0.9887394532413917
1,18,MF,0.9952076174912874
1,19,MB,0.9915387080433635
1,19,MF,0.9922939690273741
1,20,MB,0.9880327189588239
1,20,MF,0.9878701244912321
1,21,MB,0.9935512299979171
1,21,MF,0.988015841344271
1,22,MB,0.9925527668874217
1,22,MF,0.9992259704025028
1,23,MB,0.9954748248339924
1,23,MF,0.988226480358527
1,24,MB,0.9850777768119076
1,24,MF,0.999225970405262
1,25,MB,0.9904726943420022
1,25,MF,0.9951075118022576
1,26,MB,0.9901817911765675
1,26,MF,0.9914244098158019
1,27,MB,0.9845560479506974
1,27,MF,0.008471819058349327
1,28,MB,0.9839494390427551
1,28,MF,0.9883122489544529
1,29,MB,0.9877957369105911
1,29,MF,0.988312780223948
1,30,MB,0.9899616115794965
1,30,MF,0.01449481271351548
1,31,MB,0.992516254571544
1,31,MF,0.02799371659510749
1,32,MB,0.9913013311013353
1,32,MF,0.9922945322221852
1,33,MB,0.9862449209001825
1,33,MF,0.9856264719201324
1,34,MB,0.9916962408687211
1,34,MF,0.027993295068318415
1,35,MB,0.9908800486780869
1,35,MF,0.9922945200025757
1,36,MB,0.9913348146776723
1,36,MF,0.9952146374780406
1,37,MB,0.9937270543852992
1,37,MF,0.9883129693452962
1,38,MB,0.9928511472769376
1,38,MF,0.9882942718305929
1,39,MB,0.9879576787742415
1,39,MF,0.9883110413254975
1,40,MB,0.9937543208162102
1,40,MF,0.9922942209833868
1,41,MB,0.987053729517294
1,41,MF,0.9922428360029487
1,42,MB,0.9853234406618853
1,42,MF,0.9919954842312797
1,43,MB,0.9917055710739149
1,43,MF,0.9951985123214575
1,44,MB,0.9952894422911865
1,44,MF,0.9125612090143875
1,45,MB,0.9927183578761277
1,45,MF,0.9922287739719307
1,46,MB,0.9940753533333614
1,46,MF,0.9883129691484971
1,47,MB,0.9926574700789548
1,47,MF,0.9882750072062456
1,48,MB,0.983111629812856
1,48,MF,0.007926348981629796
1,49,MB,0.993574204502274
1,49,MF,0.48404851106995006
1,50,MB,0.991910986816086
1,50,MF,0.9882949157385436
1,51,MB,0.9943805775793674
1,51,MF,0.9922943445200659
1,52,MB,0.9922207242880684
1,52,MF,0.027993710930542693
1,53,MB,0.9932244447891259
1,53,MF,0.9921711422199117
1,54,MB,0.9897173395312058
1,54,MF,0.9883138995194845
1,55,MB,0.9888842901131161
1,55,MF,0.9922945452355638
1,56,MB,0.9851454672217964
1,56,MF,0.9882943203539071
1,57,MB,0.9918169179231494
1,57,MF,0.9883068429739288
1,58,MB,0.989245868046414
1,58,MF,0.9882947570796038
1,59,MB,0.9934763310821383
1,59,MF,0.9922945466214117
1,60,MB,0.9895310305807783
1,60,MF,0.9922944518098757
1,61,MB,0.984102130525478
1,61,MF,0.9883128964827489
1,62,MB,0.9925916631126614
1,62,MF,0.9945453554141366
1,63,MB,0.9931882392091511
1,63,MF,0.9880341548637808
1,64,MB,0.9923572061222949
1,64,MF,0.4835249837242384
1,65,MB,0.9897488505896544
1,65,MF,0.4120776566751822
1,66,MB,0.9939752379705908
1,66,MF,0.9922543188988898
1,67,MB,0.9933538196173075
1,67,MF,0.9883086052484228
1,68,MB,0.9901444715527039
1,68,MF,0.9882287646384285
1,69,MB,0.9853606905201938
1,69,MF,0.999225970405648
1,70,MB,0.9947760455197425
1,70,MF,0.9992259704056439
1,71,MB,0.9925287662501723
1,71,MF,0.9328873312157353
1,72,MB,0.9911756726821687
1,72,MF,0.9882750504641221
1,73,MB,0.9816356040871963
1,73,MF,0.9125615861237416
1,74,MB,0.9908979204713851
1,74,MF,0.985643189884061
1,75,MB,0.9853776436987314
1,75,MF,0.9922944781112505
1,76,MB,0.9891370033689494
1,76,MF,0.9883129565627081
1,77,MB,0.991042799963606
1,77,MF,0.48209872017096805
1,78,MB,0.9913790014076213
1,78,MF,0.978576361963771
1,79,MB,0.9936514718702628
1,79,MF,0.9873954910141438
1,80,MB,0.9878699980320836
1,80,MF,0.027993571229498495
1,81,MB,0.9897055374301446
1,81,MF,0.988298002534301
1,82,MB,0.9919363662141122
1,82,MF,0.9875776184318792
1,83,MB,0.9922846360640369
1,83,MF,0.9951449850494587
1,84,MB,0.9858507702938177
1,84,MF,0.9992259687356189
1,85,MB,0.9916234671641753
1,85,MF,0.9125620314288421
1,86,MB,0.9936076230387738
1,86,MF,0.9922945466225329
1,87,MB,0.9876003023712602
1,87,MF,0.9883125801258835
1,88,MB,0.9885833761784761
