rep_n,trial_n,agent_type,a1,a2,stay,r,last_r,last_trans
0,0,MF,right,left,0,0,,
0,1,MF,right,right,1,1,0,rare
0,2,MF,right,right,1,0,1,common
0,3,MF,right,left,1,0,0,common
0,4,MF,left,right,0,1,0,rare
0,5,MF,right,right,0,0,1,common
0,6,MF,right,left,1,0,0,common
0,7,MF,left,right,0,0,0,common
0,8,MF,left,right,1,0,0,common
0,9,MF,left,right,1,1,0,common
0,10,MF,right,left,0,1,1,rare
0,11,MF,right,left,1,0,1,rare
0,12,MF,right,left,1,0,0,rare
0,13,MF,right,right,1,0,0,common
0,14,MF,right,right,1,0,0,common
0,15,MF,right,right,1,1,0,common
0,16,MF,right,right,1,1,1,common
0,17,MF,left,left,0,1,1,rare
0,18,MF,left,left,1,1,1,common
0,19,MF,left,left,1,0,1,rare
0,20,MF,left,right,1,0,0,common
0,21,MF,right,left,0,0,0,common
0,22,MF,left,right,0,0,0,common
0,23,MF,left,right,1,0,0,common
0,24,MF,left,left,1,0,0,rare
0,25,MF,right,left,0,0,0,common
0,26,MF,left,right,0,0,0,common
0,27,MF,right,left,0,0,0,common
0,28,MF,left,left,0,1,0,common
0,29,MF,right,left,0,1,1,rare
0,30,MF,right,left,1,1,1,common
0,31,MF,right,left,1,0,1,rare
0,32,MF,right,right,1,0,0,common
0,33,MF,right,right,1,0,0,common
0,34,MF,left,left,0,0,0,common
0,35,MF,left,right,1,0,0,common
0,36,MF,left,right,1,0,0,common
0,37,MF,right,left,0,0,0,rare
0,38,MF,left,right,0,0,0,common
0,39,MF,right,right,0,0,0,common
0,40,MF,left,left,0,1,0,common
0,41,MF,right,left,0,1,1,rare
0,42,MF,right,left,1,0,1,common
0,43,MF,right,right,1,0,0,common
0,44,MF,left,left,0,0,0,common
0,45,MF,right,left,0,0,0,common
0,46,MF,left,left,0,1,0,rare
0,47,MF,right,left,0,0,1,rare
0,48,MF,left,left,0,0,0,common
0,49,MF,left,left,1,1,0,common
0,50,MF,right,right,0,0,1,rare
0,51,MF,right,left,1,0,0,rare
0,52,MF,right,right,1,0,0,common
0,53,MF,left,left,0,1,0,rare
0,54,MF,left,right,1,1,1,rare
0,55,MF,left,left,1,1,1,common
0,56,MF,right,right,0,1,1,rare
0,57,MF,left,right,0,1,1,rare
0,58,MF,left,left,1,0,1,common
0,59,MF,left,left,1,1,0,rare
0,60,MF,left,right,1,1,1,rare
0,61,MF,left,right,1,1,1,common
0,62,MF,right,left,0,1,1,common
0,63,MF,right,left,1,0,1,common
0,64,MF,right,left,1,1,0,common
0,65,MF,left,right,0,0,1,common
0,66,MF,left,left,1,0,0,common
0,67,MF,left,right,1,1,0,common
0,68,MF,left,right,1,1,1,common
0,69,MF,right,right,0,1,1,common
0,70,MF,right,right,1,0,1,rare
0,71,MF,left,right,0,1,0,rare
0,72,MF,right,left,0,0,1,rare
0,73,MF,left,left,0,1,0,common
0,74,MF,right,left,0,0,1,rare
0,75,MF,left,left,0,1,0,common
0,76,MF,left,left,1,1,1,rare
0,77,MF,left,right,1,0,1,rare
0,78,MF,left,right,1,1,0,common
0,79,MF,right,left,0,1,1,common
0,80,MF,left,right,0,0,1,common
0,81,MF,left,right,1,0,0,common
0,82,MF,left,left,1,1,0,common
